patinho_feio_cpu_device prog_8bit
m68307_cpu_device m68307_internal_map
pioneer_pr8210_device pr8210_portmap
simutrek_special_device simutrek_portmap
phillips_22vp931_device vp931_portmap
tc0091lvc_device tc0091lvc_map8
pdc_device pdc_mem
pdc_device pdc_io
smpc_hle_device smpc_regs
mcf5206e_peripheral_device coldfire_regs_map
mpu401_device mpu401_map
mpu401_device mpu401_io_map
ef9365_device ef9365
huc6271_device data_map
ramdac_device ramdac_palram
upd7227_device upd7227_map
scn2674_device scn2674_vram
sed1330_device sed1330
tms3556_device tms3556
hd66421_device hd66421
mb_vcu_device mb_vcu_vram
mb_vcu_device mb_vcu_pal_ram
tms9928a_device memmap
hd61830_device hd61830
msm6255_device msm6255
upd7220_device upd7220_vram
crt9007_device crt9007
ef9364_device ef9364
mb90082_device mb90082_vram
ef9345_device ef9345
mos8563_device mos8563_videoram_map
m50458_device m50458_vram
huc6272_device microprg_map
huc6272_device kram_map
mos6566_device mos6566_videoram_map
mos6566_device mos6566_colorram_map
sega315_5124_device sega315_5124
v99x8_device memmap
ppu2c0x_device ppu2c0x
zexall_state z80_mem
testcpu_state ppc_mem
dummy_space_device dummy
tmmjprd_state tmmjprd_map
sys2900_state mem_map
sys2900_state io_map
s11b_state s11b_main_map
s11b_state s11b_audio_map
s11b_state s11b_bg_map
junofrst_state main_map
junofrst_state audio_map
junofrst_state mcu_map
junofrst_state mcu_io_map
prestige_state prestige_mem
prestige_state prestige_io
prestige_state glcolor_io
fortyl_state _40love_map
fortyl_state undoukai_map
fortyl_state sound_map
haze_state mem_map
haze_state io_map
exelv_state tms7020_mem
exelv_state tms7040_mem
hyperspt_state common_map
hyperspt_state hyperspt_map
hyperspt_state roadf_map
hyperspt_state common_sound_map
hyperspt_state hyperspt_sound_map
hyperspt_state roadf_sound_map
hyperspt_state soundb_map
hyprolyb_adpcm_device hyprolyb_adpcm_map
badlands_state main_map
badlands_state audio_map
badlands_state bootleg_map
badlands_state bootleg_audio_map
hanaawas_state hanaawas_map
hanaawas_state io_map
tricep_state tricep_mem
skykid_state skykid_map
skykid_state mcu_map
skykid_state mcu_port_map
segas24_state system24_cpu1_map
segas24_state roughrac_cpu1_map
segas24_state hotrod_cpu1_map
segas24_state system24_cpu2_map
segas24_state roughrac_cpu2_map
segas24_state hotrod_cpu2_map
segas24_state decrypted_opcodes_map
mephisto_pinball_state mephisto_map
mephisto_pinball_state mephisto_8051_map
mephisto_pinball_state mephisto_8051_io
mephisto_pinball_state sport2k_8051_io
bfm_sc5_state sc5_map
partner_state partner_mem
midyunit_state main_map
midyunit_state yawdim_sound_map
segas1x_bootleg_state shinobib_map
segas1x_bootleg_state passshtb_map
segas1x_bootleg_state passht4b_map
segas1x_bootleg_state wb3bbl_map
segas1x_bootleg_state tturfbl_sound_map
segas1x_bootleg_state tturfbl_sound_io_map
segas1x_bootleg_state shinobi_datsu_sound_map
segas1x_bootleg_state sound_map
segas1x_bootleg_state sound_io_map
segas1x_bootleg_state sound_7759_map
segas1x_bootleg_state sound_7759_io_map
segas1x_bootleg_state goldnaxeb1_map
segas1x_bootleg_state bayrouteb1_map
segas1x_bootleg_state decrypted_opcodes_map
segas1x_bootleg_state bayrouteb2_map
segas1x_bootleg_state dduxbl_map
segas1x_bootleg_state goldnaxeb2_map
segas1x_bootleg_state eswatbl_map
segas1x_bootleg_state eswatbl2_map
segas1x_bootleg_state tetrisbl_map
segas1x_bootleg_state beautyb_map
segas1x_bootleg_state tturfbl_map
segas1x_bootleg_state sound_18_map
segas1x_bootleg_state sound_18_io_map
segas1x_bootleg_state shdancbl_map
segas1x_bootleg_state shdancbla_map
segas1x_bootleg_state shdancbl_sound_map
segas1x_bootleg_state shdancbl_sound_io_map
segas1x_bootleg_state shdancbla_sound_map
segas1x_bootleg_state mwalkbl_map
segas1x_bootleg_state astormbl_map
segas1x_bootleg_state sys18bl_sound_map
segas1x_bootleg_state sys18bl_oki_map
segas1x_bootleg_state ddcrewbl_map
looping_state looping_map
looping_state looping_io_map
looping_state looping_sound_map
looping_state looping_sound_io_map
applix_state applix_mem
applix_state subcpu_mem
applix_state subcpu_io
applix_state keytronic_pc3270_program
applix_state keytronic_pc3270_io
ppmast93_state ppmast93_cpu1_map
ppmast93_state ppmast93_cpu1_io
ppmast93_state ppmast93_cpu2_map
ppmast93_state ppmast93_cpu2_io
embargo_state main_map
embargo_state main_io_map
embargo_state main_data_map
nmkmedal_state mem_map
spbactn_state spbactn_map
spbactn_state spbactnp_map
spbactn_state spbactn_sound_map
spbactn_state spbactnp_extra_map
alesis_state hr16_mem
alesis_state hr16_io
alesis_state sr16_mem
alesis_state sr16_io
alesis_state mmt8_io
progolf_state main_cpu
progolf_state sound_cpu
lviv_state io_map
lviv_state lviv_mem
socrates_state z80_mem
socrates_state socrates_rombank_map
socrates_state socrates_rambank_map
socrates_state z80_io
iqunlimz_state iqunlimz_mem
iqunlimz_state iqunlimz_rombank_map
iqunlimz_state iqunlimz_rambank_map
iqunlimz_state iqunlimz_io
bking_state bking_map
bking_state bking_io_map
bking_state bking3_io_map
bking_state bking_audio_map
whitestar_state whitestar_map
vic10_state vic10_mem
vic10_state vic_videoram_map
vic10_state vic_colorram_map
mirax_state mirax_main_map
mirax_state mirax_sound_map
dgn_beta_state dgnbeta_map
mx2178_state mx2178_mem
mx2178_state mx2178_io
spartanxtec_state spartanxtec_map
spartanxtec_state spartanxtec_sound_map
spartanxtec_state spartanxtec_sound_io
bfmsys83_state memmap
eolith16_state eolith16_map
altos5_state mem_map
altos5_state io_map
gunpey_state mem_map
gunpey_state io_map
nyny_state nyny_main_map
nyny_state nyny_audio_1_map
nyny_state nyny_audio_2_map
drmicro_state drmicro_map
drmicro_state io_map
multi8_state multi8_mem
multi8_state multi8_io
fireball_state fireball_map
fireball_state fireball_io_map
kchamp_state kchampvs_map
kchamp_state decrypted_opcodes_map
kchamp_state kchampvs_io_map
kchamp_state kchampvs_sound_map
kchamp_state kchampvs_sound_io_map
kchamp_state kchamp_map
kchamp_state kchamp_io_map
kchamp_state kchamp_sound_map
kchamp_state kchamp_sound_io_map
namcos12_state namcos12_map
namcos12_state ptblank2_map
namcos12_state tektagt_map
namcos12_state s12h8rwmap
namcos12_state s12h8rwjvsmap
namcos12_state s12h8iomap
namcos12_state s12h8jvsiomap
namcos12_state s12h8railiomap
namcos12_state golgo13_h8iomap
namcos12_state jvsmap
namcos12_state jvsiomap
namcos12_state tdjvsmap
namcos12_state tdjvsiomap
namcos12_state plarailjvsmap
namcos12_state plarailjvsiomap
kdt6_state psi98_mem
kdt6_state psi98_io
risc2500_state risc2500_mem
imds_state imds_mem
imds_state imds_io
crystal_state crystal_mem
crystal_state trivrus_mem
crystal_state crospuzl_mem
crystal_state crzyddz2_mem
noki3310_state noki3310_map
firefox_state main_map
firefox_state audio_map
bgt_state bgt_map
bgt_state bgt_io
ppking_state ppking_cpu1_map
ppking_state ppking_cpu3_map
ppking_state ppking_cpu1_io
ppking_state ppking_cpu2_io
gladiatr_state gladiatr_cpu1_map
gladiatr_state cpu2_map
gladiatr_state gladiatr_cpu3_map
gladiatr_state gladiatr_cpu1_io
gladiatr_state gladiatr_cpu2_io
msx_state msx_memory_map
msx_state msx_io_map
msx_state msx2_io_map
msx_state msx2p_io_map
baraduke_state baraduke_map
baraduke_state mcu_map
baraduke_state mcu_port_map
skydiver_state skydiver_map
seibuspi_state base_map
seibuspi_state sei252_map
seibuspi_state rise_map
seibuspi_state spi_map
seibuspi_state rdft2_map
seibuspi_state sxx2e_map
seibuspi_state sxx2f_map
seibuspi_state sys386i_map
seibuspi_state sys386f_map
seibuspi_state sxx2e_soundmap
seibuspi_state spi_soundmap
gaelco_state bigkarnk_map
gaelco_state bigkarnk_snd_map
gaelco_state maniacsq_map
gaelco_state squash_map
gaelco_state thoop_map
gaelco_state oki_map
realbrk_state base_mem
realbrk_state realbrk_mem
realbrk_state pkgnsh_mem
realbrk_state pkgnshdx_mem
realbrk_state dai2kaku_mem
mlanding_state main_map
mlanding_state sub_map
mlanding_state dsp_map_prog
mlanding_state dsp_map_data
mlanding_state audio_map_prog
mlanding_state audio_map_io
mlanding_state mecha_map_prog
swtpc_state mem_map
boogwing_state boogwing_map
boogwing_state decrypted_opcodes_map
boogwing_state audio_map
rm380z_state rm380z_mem
rm380z_state rm380z_io
rm380z_state rm480z_mem
rm380z_state rm480z_io
m92_state lethalth_map
m92_state m92_map
m92_state m92_portmap
m92_state ppan_portmap
m92_state sound_map
miniframe_state miniframe_mem
miniframe_state ramrombank_map
big10_state main_map
big10_state main_io
_1943_state c1943_map
_1943_state sound_map
lethalj_state lethalj_map
gizmondo_state gizmondo_map
mm1_state mm1_map
m58_state yard_map
sgi_ip6_state sgi_ip6_map
slapshot_state slapshot_map
slapshot_state opwolf3_map
slapshot_state opwolf3_z80_sound_map
slicer_state slicer_map
slicer_state slicer_io
nemesis_state nemesis_map
nemesis_state gx400_map
nemesis_state konamigt_map
nemesis_state rf2_gx400_map
nemesis_state sound_map
nemesis_state gx400_sound_map
nemesis_state gx400_vlm_map
nemesis_state salamand_map
nemesis_state blkpnthr_map
nemesis_state citybomb_map
nemesis_state nyanpani_map
nemesis_state sal_sound_map
nemesis_state salamand_vlm_map
nemesis_state blkpnthr_sound_map
nemesis_state city_sound_map
nemesis_state hcrash_map
portfolio_state portfolio_mem
portfolio_state portfolio_io
portfolio_state portfolio_lcdc
cp1_state cp1_io
ms32_state ms32_map
ms32_state f1superb_map
ms32_state ms32_sound_map
nss_state snes_map
nss_state spc_mem
nss_state bios_map
nss_state bios_io_map
ttchamp_state ttchamp_map
ttchamp_state ttchamp_io
jade_state mem_map
jade_state io_map
astrocde_mess_state astrocade_mem
astrocde_mess_state astrocade_io
altair_state mem_map
altair_state io_map
crgolf_state main_map
crgolf_state vrambank_map
crgolf_state sound_map
crgolf_state mastrglf_map
crgolf_state mastrglf_io
crgolf_state mastrglf_submap
crgolf_state mastrglf_subio
fb01_state fb01_mem
fb01_state fb01_io
ti990_4_state memmap
ti990_4_state cru_map
ti990_4_state cru_map_v
unior_state unior_mem
unior_state unior_io
wswan_state wswan_mem
wswan_state wscolor_mem
wswan_state wswan_io
a400_state a400_mem
a400_state a600xl_mem
a400_state a1200xl_mem
a400_state a800xl_mem
a400_state a130xe_mem
a400_state xegs_mem
a400_state a5200_mem
photon2_state spectrum_mem
photon2_state spectrum_io
mpu4plasma_state mpu4plasma_map
c10_state c10_mem
c10_state c10_io
xerox820_state xerox820_mem
xerox820_state xerox820_io
xerox820ii_state xerox820ii_mem
xerox820ii_state xerox820ii_io
xerox820ii_state xerox168_mem
xerox820_state mk83_mem
policetr_state policetr_map
policetr_state sshooter_map
wyse_state mem_map
wyse_state io_map
bagman_state main_map
bagman_state pickin_map
bagman_state main_portmap
ashnojoe_state ashnojoe_map
ashnojoe_state sound_map
ashnojoe_state sound_portmap
vta2000_state mem_map
vta2000_state io_map
lazercmd_state lazercmd_map
lazercmd_state medlanes_map
lazercmd_state bbonk_map
lazercmd_state lazercmd_portmap
miniforce_state miniforce_mem
arcadecl_state main_map
osborne1_state osborne1_mem
osborne1_state osborne1_op
osborne1_state osborne1_io
osborne1_state osborne1nv_io
mcr68_state mcr68_map
mcr68_state pigskin_map
mcr68_state trisport_map
maygayv1_state main_map
maygayv1_state sound_prg
maygayv1_state sound_data
maygayv1_state sound_io
microtan_state microtan_map
midzeus_state zeus_map
midzeus2_state zeus2_map
gijoe_state gijoe_map
gijoe_state sound_map
by17_state by17_map
skyraid_state skyraid_map
gaiden_state gaiden_map
gaiden_state drgnbowl_map
gaiden_state sound_map
gaiden_state drgnbowl_sound_map
gaiden_state drgnbowl_sound_port_map
gaiden_state mastninj_sound_map
gaiden_state mastninj_map
orion_state orion128_mem
orion_state orion128_io
orion_state orionz80_mem
orion_state orionz80_io
orion_state orionpro_mem
orion_state orionpro_io
mt32_state mt32_map
mt32_state mt32_io
jvh_state jvh_map
jvh_state escape_io
jvh_state movmastr_io
jvh_state jvh_sub_map
ninjakd2_state ninjakd2_main_cpu
ninjakd2_state mnight_main_cpu
ninjakd2_state robokid_main_cpu
ninjakd2_state omegaf_main_cpu
ninjakd2_state ninjakd2_sound_cpu
ninjakd2_state ninjakid_nopcm_sound_cpu
ninjakd2_state decrypted_opcodes_map
ninjakd2_state ninjakd2_sound_io
unico_state burglarx_map
unico_state zeropnt_map
unico_state zeropnt2_map
tourvision_state pce_mem
tourvision_state pce_io
tourvision_state tourvision_8085_map
sansa_fuze_state sansa_fuze_map
taitoo_state parentj_map
atarigx2_state main_map
sumt8035_state sumt_map
sumt8035_state sumt_portmap
polepos_state z80_map
polepos_state z80_io
polepos_state z8002_map
polepos_state z8002_map_1
polepos_state z8002_map_2
polepos_state topracern_io
polepos_state sound_z80_bootleg_map
polepos_state sound_z80_bootleg_iomap
beaminv_state main_map
beaminv_state main_io_map
sbrain_state sbrain_mem
sbrain_state sbrain_io
sbrain_state sbrain_submem
sbrain_state sbrain_subio
by133_state main_map
by133_state video_map
by133_state granny_map
by133_state sound_map
by133_state sound_portmap
mkit09_state mkit09_mem
mkit09_state mkit09a_mem
mkit09_state mkit09_io
re900_state mem_prg
re900_state mem_io
ecoinf3_state pyramid_memmap
ecoinf3_state pyramid_portmap
superdq_state superdq_map
superdq_state superdq_io
offtwall_state main_map
lgp_state main_program_map
lgp_state sound_program_map
lgp_state main_io_map
lgp_state sound_io_map
segahang_state hangon_map
segahang_state decrypted_opcodes_map
segahang_state sharrier_map
segahang_state sub_map
segahang_state fd1094_decrypted_opcodes_map
segahang_state sound_map_2203
segahang_state sound_portmap_2203
segahang_state sound_map_2151
segahang_state sound_portmap_2151
segahang_state sound_portmap_2203x2
segahang_state mcu_io_map
gberet_state gberet_map
gberet_state mrgoemon_map
gberet_state gberetb_map
nwktr_state nwktr_map
nwktr_state sound_memmap
nwktr_state sharc0_map
nwktr_state sharc1_map
snes_console_state snes_map
snes_console_state spc_map
sacstate_state sacstate_mem
sacstate_state sacstate_io
sv8000_state sv8000_mem
sv8000_state sv8000_io
megadriv_radica_state megadriv_radica_map
ps2sony_state mem_map
z80dev_state mem_map
z80dev_state io_map
sys9002_state sys9002_mem
sys9002_state sys9002_io
chqflag_state chqflag_map
chqflag_state bank1000_map
chqflag_state chqflag_sound_map
bmcbowl_state bmcbowl_mem
bmcbowl_state ramdac_map
sliver_state sliver_map
sliver_state soundmem_prg
sliver_state soundmem_io
sliver_state oki_map
sliver_state ramdac_map
vegas_state vegas_cs2_map
vegas_state vegas_cs3_map
vegas_state vegas_cs4_map
vegas_state vegas_cs5_map
vegas_state vegas_cs6_map
vegas_state vegas_cs7_map
vegas_state vegas_cs8_map
cybstorm_state main_map
cybstorm_state vadbank_map
mw8080bw_state main_map
mw8080bw_state seawolf_io_map
mw8080bw_state gunfight_io_map
mw8080bw_state tornbase_io_map
mw8080bw_state zzzap_io_map
mw8080bw_state maze_io_map
mw8080bw_state boothill_io_map
mw8080bw_state checkmat_io_map
mw8080bw_state desertgu_io_map
mw8080bw_state dplay_io_map
mw8080bw_state gmissile_io_map
mw8080bw_state m4_io_map
mw8080bw_state clowns_io_map
mw8080bw_state spacwalk_io_map
mw8080bw_state shuffle_io_map
mw8080bw_state dogpatch_io_map
mw8080bw_state spcenctr_io_map
mw8080bw_state phantom2_io_map
mw8080bw_state bowler_io_map
mw8080bw_state invaders_io_map
mw8080bw_state blueshrk_io_map
mw8080bw_state invad2ct_io_map
instruct_state mem_map
instruct_state io_map
instruct_state data_map
if800_state if800_map
if800_state if800_io
if800_state upd7220_map
superwng_state superwng_map
